0, 1426
1, 4
2, 4
3, 4
4, 4
5, 4
6, 4
7, 4
8, 4
9, 4
10, 509
11, 4
12, 4
13, 4
14, 2021
15, 4
16, 4
17, 509
18, 4
19, 2101
20, 2100
21, 2100
22, 1916
23, 2100
24, 4
25, 4
26, 118
27, 4
28, 4
29, 1541
30, 1541
31, 4
32, 4
33, 4
34, 4
35, 4
36, 4
37, 119
38, 4
39, 4
40, 1415
41, 62
42, 63
43, 64
44, 92
45, 92
46, 742
47, 101
48, 62
49, 96
50, 1403
51, 1755
52, 1847
53, 1852
54, 1852
55, 1852
56, 2
57, 1801
58, 17
59, 17
60, 17
61, 99
62, 17
63, 17
64, 17
65, 2
66, 108
67, 108
68, 108
69, 2
70, 30
71, 2
72, 1717
73, 67
74, 68
75, 38
76, 38
77, 67
78, 76
79, 76
80, 109
81, 66
82, 75
83, 75
84, 75
85, 2
86, 1900
87, 1900
88, 1900
89, 110
90, 70
91, 70
92, 70
93, 72
94, 71
95, 97
96, 97
97, 97
98, 1954
99, 98
100, 4
101, 680
102, 680
103, 73
104, 74
105, 13
106, 13
107, 100
108, 100
109, 1418
110, 55
111, 1409
112, 57
113, 321
114, 321
115, 321
116, 61
117, 61
118, 2
119, 2
120, 2
121, 2
122, 680
123, 680
124, 4
125, 111
126, 1833
127, 112
128, 113
129, 2
130, 2
131, 90
132, 116
133, 110
134, 17
135, 4
136, 503
137, 503
138, 15
139, 15
140, 1419
141, 97
142, 97
143, 97
144, 1414
145, 111
146, 83
147, 1399
148, 85
149, 83
150, 83
151, -1
152, -1
153, 89
154, 89
155, 89
156, 89
157, 89
158, 111
159, 108
160, 108
161, 108
162, 108
163, 108
164, 108
165, 2022
166, 506
167, 2023
168, 108
169, 108
170, 53
171, 108
172, 4
173, 4
174, 4
175, 4
176, 4
177, 4
178, 2100
179, 2100
180, 4
181, 123
182, 35
183, 35
184, 35
185, 2
186, 4
187, 4
188, 4
189, 4
190, 4
191, 886
192, 4
193, 4
194, 4
195, 4
196, 4
197, 2
198, 2100
199, 4
200, 2100
201, 4
202, 4
203, 4
204, 4
205, 4
206, 2
207, 2
208, 2
209, 2
210, 4
211, 2100
212, 2100
213, -1
214, 4
215, 4
216, 4
217, 4
218, 4
219, 4
220, 119
221, 59
222, 4
223, 4
224, 133
225, 4
226, 4
227, 1050
228, 4
229, 4
230, 4
231, 4
232, 2
233, 178
234, 178
235, 178
236, 178
237, 237
238, 73
239, 2100
240, 119
241, 119
242, 2100
243, 2100
244, 2100
245, 2100
246, 396
247, 95
248, 119
249, 119
250, 4
251, 2100
252, 4
253, 4
254, 4
255, 4
256, 4
257, 4
258, 1498
259, 4
260, 4
261, 4
262, 4
263, 4
264, 165
265, 165
266, 165
267, 4
268, 4
269, 229
270, 1477
271, 929
272, 255
273, 255
274, 2100
275, 4
276, 119
277, 4
278, 117
279, 4
280, 4
281, 4
282, 4
283, 4
284, 2
285, 4
286, 4
287, 4
288, 50
289, 4
290, 4
291, 4
292, 64
293, 64
294, 64
295, 64
296, 105
297, 106
298, 105
299, 107
300, 119
301, 2
302, 4
303, 4
304, 4
305, 165
306, 108
307, 4
308, 709
309, 178
310, 178
311, 178
312, 178
313, 178
314, 178
315, 178
316, 178
317, 178
318, 178
319, 178
320, 178
321, 178
322, 178
323, 178
324, 178
325, 178
326, 178
327, 178
328, 178
329, 178
330, 178
331, 2
332, 2
333, 178
334, 178
335, 4
336, 4
337, 79
338, 799
339, 79
340, 798
341, 79
342, 4
343, 276
344, 4
345, 51
346, 51
347, 119
348, 4
349, 4
350, 4
351, 4
352, 4
353, 4
354, 4
355, 165
356, 165
357, 119
358, 4
359, 509
360, 4
361, 4
362, 4
363, 4
364, 2100
365, 4
366, 4
367, 4
368, 29
369, 4
370, 4
371, 4
372, 4
373, 4
374, 321
375, 4
376, -1
377, -1
378, -1
379, 4
380, 4
381, 4
382, 2
383, 2
384, 102
385, 272
386, 272
387, 272
388, 4
389, 119
390, 680
391, 680
392, 680
393, 680
394, 37
395, 37
396, 37
397, 66
398, 29
399, 29
400, 1426
401, 4
402, 4
403, 37
404, 4
405, -1
406, 35
407, 35
408, 35
409, 666
410, 4
411, 49
412, 389
413, 35
414, 35
415, -1
416, -1
417, -1
418, 671
419, 667
420, 942
421, 942
422, 214
423, 214
424, 214
425, 214
426, 214
427, 214
428, 686
429, 214
430, 214
431, 35
432, 4
433, 4
434, 28
435, 1187
436, 1185
437, 4
438, 214
439, 214
440, 1458
441, 1458
442, 1459
443, 1459
444, 37
445, 37
446, 1900
447, 4
448, 4
449, 4
450, 83
451, 83
452, 1572
453, 118
454, 123
455, 123
456, 2213
457, 4
458, 4
459, 1
460, 4
461, 4
462, 119
463, 4
464, 4
465, 4
466, 4
467, 151
468, 151
469, 108
470, 108
471, 108
472, 108
473, 108
474, 108
475, 2100
476, 1919
477, 2100
478, 226
479, 108
480, 108
481, 108
482, 108
483, 108
484, 108
485, 108
486, 108
487, 674
488, 4
489, 271
490, 678
491, 73
492, 73
493, 272
494, 92
495, 92
496, 92
497, 92
498, 1801
499, 92
500, 119
501, 74
502, 71
503, 71
504, 67
505, 38
506, 74
507, 1030
508, 1029
509, 74
510, 4
511, 4
512, 4
513, 4
514, 4
515, 4
516, 4
517, 4
518, 4
519, 1625
520, 1625
521, 117
522, 4
523, 4
524, 4
525, 4
526, 4
527, 4
528, 4
529, 4
530, 4
531, 4
532, 1865
533, 1865
534, 1802
535, 1801
536, 4
537, 4
538, 4
539, 4
540, 4
541, 4
542, 4
543, 4
544, 4
545, 4
546, 119
547, 4
548, 4
549, 4
550, 4
551, 4
552, 4
553, 92
554, 4
555, 4
556, 4
557, 4
558, -1
559, 4
560, 4
561, 4
562, 4
563, 4
564, 1801
565, 1801
566, 1833
567, 1801
568, 4
569, 4
570, 4
571, 4
572, 4
573, 4
574, 4
575, 4
576, 4
577, 4
578, 4
579, 2
580, 4
581, 4
582, 2
583, 4
584, 4
585, 4
586, 4
587, 123
588, 4
589, 4
590, 4
591, 4
592, 4
593, 4
594, 2
595, 4
596, 4
597, 4
598, 4
599, 29
600, 108
601, 108
602, 108
603, 108
604, 2
605, 2100
606, 119
607, 4
608, 2100
609, 29
610, 2100
611, 29
612, 271
613, 4
614, 4
615, 4
616, 4
617, 4
618, 4
619, 4
620, 4
621, 108
622, 108
623, 319
624, 318
625, 108
626, 108
627, 319
628, 318
